iter	Quantile:alpha=0.95
0	44164.44866
1	42812.7637
2	41425.55749
3	39961.16092
4	38904.12362
5	37933.50518
6	37065.75409
7	36005.37963
8	35120.53167
9	34025.89767
10	33282.49195
11	32749.6708
12	31987.31014
13	31358.3609
14	30809.31527
15	30229.69843
16	29696.96109
17	29146.64428
18	28688.55976
19	28125.75658
20	27533.6992
21	26916.31189
22	26399.35415
23	25890.71181
24	25472.12082
25	25116.60036
26	24672.3143
27	24401.84738
28	24140.18534
29	23831.99117
30	23487.8722
31	23081.03234
32	22699.99263
33	22324.3072
34	21918.91988
35	21578.27669
36	21326.60207
37	20961.76631
38	20614.64692
39	20273.83647
40	19944.98964
41	19646.4811
42	19368.58921
43	19060.26604
44	18793.11997
45	18579.06626
46	18248.72881
47	17971.8691
48	17747.33327
49	17551.16151
50	17401.64896
51	17161.96117
52	16933.98633
53	16753.22661
54	16571.48113
55	16407.32578
56	16217.64559
57	15991.92536
58	15789.78096
59	15618.90647
60	15465.81456
61	15283.14103
62	15155.61125
63	14975.20604
64	14798.92292
65	14643.08967
66	14499.0514
67	14354.23498
68	14226.82992
69	14131.9058
70	13992.7762
71	13864.99622
72	13749.25158
73	13618.36478
74	13485.00494
75	13363.95086
76	13240.34472
77	13163.17089
78	13061.30532
79	12960.47269
80	12855.89118
81	12774.26252
82	12683.44278
83	12587.47237
84	12504.7895
85	12426.80915
86	12360.35667
87	12290.55793
88	12208.28621
89	12139.91786
90	12084.3804
91	12022.09706
92	11964.24319
93	11900.48052
94	11850.80853
95	11798.71617
96	11735.24414
97	11683.25712
98	11630.62712
99	11593.93779
100	11548.33119
101	11503.67347
102	11456.04586
103	11414.0784
104	11389.62403
105	11361.76701
106	11328.80848
107	11296.87092
108	11256.07741
109	11220.18774
110	11174.13536
111	11130.72516
112	11099.9489
113	11069.02497
114	11030.43567
115	10996.91985
116	10953.64025
117	10919.97895
118	10901.23596
119	10870.08187
120	10853.37317
121	10834.12038
122	10816.48914
123	10794.9807
124	10771.84661
125	10749.00837
126	10730.19656
127	10701.96938
128	10674.27265
129	10648.69589
130	10628.0388
131	10613.48669
132	10599.52434
133	10574.71998
134	10558.44019
135	10541.96353
136	10527.03346
137	10507.459
138	10484.20511
139	10466.8693
140	10451.2361
141	10429.64207
142	10414.32674
143	10397.50835
144	10382.09452
145	10353.19209
146	10339.36579
147	10319.69992
148	10296.30023
149	10279.37273
150	10270.13293
151	10257.44138
152	10251.51306
153	10236.76963
154	10220.71503
155	10206.19311
156	10197.24927
157	10179.47156
158	10167.71919
159	10157.25852
160	10142.1545
161	10131.14516
162	10120.40863
163	10111.47532
164	10101.07586
165	10089.47112
166	10081.929
167	10065.61045
168	10058.84008
169	10048.55364
170	10041.16987
171	10034.58669
172	10027.90998
173	10019.80402
174	10010.41275
175	10004.66768
176	9996.219202
177	9989.092157
178	9983.075187
179	9978.874957
180	9973.742842
181	9969.299218
182	9966.388343
183	9956.767973
184	9951.677308
185	9948.973855
186	9945.309837
187	9930.831621
188	9923.89249
189	9918.969335
190	9914.577164
191	9907.083954
192	9887.515328
193	9885.256919
194	9881.054221
195	9877.128176
196	9858.459179
197	9849.129319
198	9834.99019
199	9829.737248
200	9827.006937
201	9819.357187
202	9809.269931
203	9800.907542
204	9794.678532
205	9784.468375
206	9772.182525
207	9767.807977
208	9760.228195
209	9749.980667
210	9743.611574
211	9739.318235
212	9734.426458
213	9730.405118
214	9724.291824
215	9708.072785
216	9703.135057
217	9698.787396
218	9697.328997
219	9694.913054
220	9693.24341
221	9686.897622
222	9684.345245
223	9680.956026
224	9676.27994
225	9673.923094
226	9672.551284
227	9667.207787
228	9660.331269
229	9650.022549
230	9647.310059
231	9643.661208
232	9641.914719
233	9638.12687
234	9627.652264
235	9621.744108
236	9607.892411
237	9603.293445
238	9588.622463
239	9579.767134
240	9575.242201
241	9573.831134
242	9572.544711
243	9569.466537
244	9565.618639
245	9563.477504
246	9561.638336
247	9560.580155
248	9546.239667
249	9542.346245
250	9539.854868
251	9539.347633
252	9536.534148
253	9535.370377
254	9533.272312
255	9531.626522
256	9528.646496
257	9521.807851
258	9519.815992
259	9517.461318
260	9510.839958
261	9508.296613
262	9497.329388
263	9487.478117
264	9486.385132
265	9480.415101
266	9468.627092
267	9466.685907
268	9462.455885
269	9460.831622
270	9458.078188
271	9454.491947
272	9451.857635
273	9449.535025
274	9445.579315
275	9444.174802
276	9443.299448
277	9442.064472
278	9438.260034
279	9427.75814
280	9427.177089
281	9408.192187
282	9402.83316
283	9401.237002
284	9391.545253
285	9371.059872
286	9365.848871
287	9356.722791
288	9342.506884
289	9337.747279
290	9336.240704
291	9331.317279
292	9322.293217
293	9318.992315
294	9316.790103
295	9311.521899
296	9301.813367
297	9281.093764
298	9280.365426
299	9276.517214
300	9265.310056
301	9262.494858
302	9258.371315
303	9254.807347
304	9253.364154
305	9252.255946
306	9250.066431
307	9245.136784
308	9234.929206
309	9233.56144
310	9231.50337
311	9230.518947
312	9220.389714
313	9216.054992
314	9207.897474
315	9206.425958
316	9204.074022
317	9202.917899
318	9200.0134
319	9199.124358
320	9196.938841
321	9194.65889
322	9193.763528
323	9181.127423
324	9178.266036
325	9169.771138
326	9165.499243
327	9162.824065
328	9161.222026
329	9157.471719
330	9153.155723
331	9132.234923
332	9129.356559
333	9124.343171
334	9123.846869
335	9122.240348
336	9121.861165
337	9121.053133
338	9119.981328
339	9116.987486
340	9114.880377
341	9112.473928
342	9105.110437
343	9101.589703
344	9100.495303
345	9099.028421
346	9098.581432
347	9095.815742
348	9081.754349
349	9070.656057
350	9069.373487
351	9065.650276
352	9062.591391
353	9061.080267
354	9058.829531
355	9055.359381
356	9053.776531
357	9052.627561
358	9050.231789
359	9049.242931
360	9042.589538
361	9035.311572
362	9030.430321
363	9029.540927
364	9020.626299
365	9019.360206
366	9019.018528
367	9007.061093
368	9005.189902
369	8999.979204
370	8992.008354
371	8986.737789
372	8984.186108
373	8983.45041
374	8976.815398
375	8976.254706
376	8972.009574
377	8970.590982
378	8968.460327
379	8968.282255
380	8967.529313
381	8962.685515
382	8962.003849
383	8956.399828
384	8954.290005
385	8953.282999
386	8953.141192
387	8950.316701
388	8947.794738
389	8943.44581
390	8940.623784
391	8933.826455
392	8933.121299
393	8931.224461
394	8930.473304
395	8929.41549
396	8927.68688
397	8926.973436
398	8923.203758
399	8919.796123
400	8919.206177
401	8918.167001
402	8917.682576
403	8916.865216
404	8915.791562
405	8912.688447
406	8909.025405
407	8908.038132
408	8907.075666
409	8905.904678
410	8900.615197
411	8900.215454
412	8899.040887
413	8898.22269
414	8893.495394
415	8890.75839
416	8889.610662
417	8887.653692
418	8883.233487
419	8882.547036
420	8879.518459
421	8872.725091
422	8871.542445
423	8863.587982
424	8860.289142
425	8858.954466
426	8858.776432
427	8856.502787
428	8855.644939
429	8854.906869
430	8851.253321
431	8850.724632
432	8849.728423
433	8849.667554
434	8849.505866
435	8848.973458
436	8845.874609
437	8844.307082
438	8839.238933
439	8838.239492
440	8836.088131
441	8835.719433
442	8835.228666
443	8834.478709
444	8833.645454
445	8833.407944
446	8830.110471
447	8830.035144
448	8827.057545
449	8826.29365
450	8822.029618
451	8821.551198
452	8821.492993
453	8813.126842
454	8812.785385
455	8812.146672
456	8811.508447
457	8811.0603
458	8810.661036
459	8810.436184
460	8808.63053
461	8806.212886
462	8803.220237
463	8802.948876
464	8799.737456
465	8797.213468
466	8795.794522
467	8795.563226
468	8794.525715
469	8793.894229
470	8792.810213
471	8792.234803
472	8791.851152
473	8790.476748
474	8788.837779
475	8788.342806
476	8787.805847
477	8786.046591
478	8783.719131
479	8783.237853
480	8782.935919
481	8782.487844
482	8782.098022
483	8781.257072
484	8780.823701
485	8779.880773
486	8779.258509
487	8779.017865
488	8778.698703
489	8778.259454
490	8777.672288
491	8777.259712
492	8776.973476
493	8776.837662
494	8775.384246
495	8775.025333
496	8774.053436
497	8773.241436
498	8772.545091
499	8769.884906
